,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
209,31,26.4,14.6,33.9,33.2,35.5,27.7,18.8,41.3,22,15.4,25.9,29.6,43.1,18.9
210,35.2,24.4,15,42.6,46.7,42.3,25.5,19.1,82.1,22.9,20,25.9,18.3,40.4,19.9
211,33.9,19.9,15.6,38.5,45,70.5,24,19.7,75.2,20.6,17.8,18.6,31.7,31.5,19.1
212,27.9,18.3,15.6,38.9,33.9,41.8,23.9,19.8,124,22.7,16.7,17.3,96.8,25.3,16.9
213,20.4,17.5,15.8,32.3,25.7,47,21.3,18.4,91.5,29.3,16.2,15.6,44,24.4,18
214,20.2,17,18.5,44.8,22.3,33.8,20.6,13.3,51.7,31.3,22.2,13.4,36.1,23.8,16.9
215,21,16.4,39.3,35.5,21.4,27.8,18.6,11.5,42.7,42.8,40.3,12.2,28.4,23.3,46.7
216,19.8,16.1,62.1,30.9,21.2,24.4,19.9,25.5,38.1,34.4,60.6,17,30.6,20.8,30.2
217,17.3,24.5,60.4,30.7,18.1,34.2,18.6,31,33.9,26.6,29.5,25,26,20.9,31.6
218,16.8,20.1,44.9,35.8,18.8,47.8,19.2,36.1,32.6,27.3,23.5,26.4,21.7,27.3,38.1
219,18.3,18.5,42.2,76.2,89.8,31.4,29.9,33.1,29.1,25.5,20.7,24.3,20.3,33.1,26
220,23.3,22.1,40.4,76.2,72.9,27.7,43.6,55.4,27.6,24.6,18.6,17.1,32.7,28.7,23.7
221,23.7,22.2,30.9,107,39.2,31.6,44.2,33.4,40.9,31.2,23.2,15.3,33.3,23.6,25.4
222,19.5,19.9,30.4,95.9,33.1,34.7,34.6,23.1,43.9,22.9,36.3,15.5,30.7,23.5,36
223,18.6,19,45.5,60.1,37.1,60.7,64.8,21.1,31,21.7,39.8,24.9,35.4,24.3,56.4
224,17.5,28.4,44.5,62.4,66.3,56.3,102,21.6,31.8,19.8,29.9,24.3,43.5,22.5,35.3
225,20.6,27.9,39.1,54.7,53.2,40,72.4,21.1,34.8,18.6,44.6,31.7,45.3,20.9,27.9
226,40,22.8,37,104,34.6,43.8,44.7,20,31.4,20,31.8,42.6,109,20.7,24.1
