time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
733168,2.706948216,2.401910291,2.383181946,1.797921154
733169,2.597153292,2.252083528,2.331678996,1.80260324
733170,18.67478228,18.83135125,16.59331398,16.59331398
733171,1.808970877,1.657458564,1.858788276,1.175203671
733172,2.596966008,2.621968349,2.247401442,1.151793239
733173,30.73185692,29.23962918,29.23962918,28.83228767
733174,9.076411649,7.978275119,8.081281019,8.081281019
733175,1.523972282,1.484221369,1.484221369,1.484221369
733176,1.523972282,1.484221369,1.484221369,1.090926117
733177,6.6941193,4.874051878,4.874051878,4.874051878
733178,0.269126323,0.271561008,0.407341511,0.407341511
733179,0.237475419,0.24346849,0.24346849,0.24346849
733180,0,0,0.014046259,0.014046259
733181,0.018541062,0.018728345,0.018728345,0.018728345
733182,0.354340294,0.079595468,0.079595468,0.060867122
733183,0.354340294,0.079595468,0.079595468,0
733184,0.354340294,0.079595468,0.079595468,0
733185,27.05876018,32.0067422,32.0067422,31.98333177
733186,17.41914037,16.5511752,16.79932578,16.79932578
733187,20.49157224,19.9784624,18.63470362,3.113587415
733188,16.71280082,16.14851578,16.09701283,0.529075756
733189,7.352373818,6.700065549,6.714111808,0.875550145
733190,1.008193651,0.875550145,0.880232231,0.80531885
733191,1.727830321,1.615319786,1.231388707,0.486936979
733192,3.393201611,2.312950651,1.975840434,1.104972376
733193,1.477057777,1.357805038,1.339076693,1.339076693
733194,0.19468115,0.210693885,0.210693885,0.210693885
733195,0.376392921,0.149826763,0.145144676,0.093641727
733196,0.688547617,0.28092518,0.28092518,0.28092518
733197,0.897415488,0.290289353,0.290289353,0.028092518
733198,0.580391422,0.234104317,0.220058058,0.215375972
733199,0.664949902,0.234104317,0.234104317,0.014046259
733200,1.474108063,0.866185972,0.449480288,0.290289353
733201,0.219496208,0.079595468,0.065549209,0
733202,0.312669726,0.098323813,0.098323813,0.046820863
733203,10.53979773,10.19758404,10.19758404,10.11798858
733204,10.53979773,10.19758404,10.19758404,9.902612604
733205,49.39605768,52.1584418,52.1584418,52.1584418
733206,8.458938103,8.788276056,8.858507351,8.577582171
733207,8.089989699,8.104691451,8.100009364,1.437400506
733208,10.90612417,10.78284484,10.78284484,7.63180073
733209,10.90612417,10.78284484,10.78284484,0.276243094
733210,11.80794082,11.92995599,11.92995599,1.488903455
733211,11.80794082,11.92995599,11.92995599,0.074913381
733212,11.10721978,10.98885663,10.98885663,0.276243094
733213,11.10721978,10.98885663,10.98885663,0
733214,11.10721978,10.98885663,10.98885663,0
733215,13.77282517,14.34123045,14.34123045,5.604457346
733216,12.66260886,12.84296282,12.51053469,9.804288791
733217,6.280691076,5.567000655,6.428504542,3.563067703
733218,6.910057121,7.800355839,7.308736773,4.429253675
733219,7.211958049,7.879951306,7.861222961,2.322314823
733220,6.581187377,7.205730874,7.177638356,0.61335331
733221,4.630583388,3.811218279,3.581796048,1.957112089
733222,0.258544808,0.248150576,0.257514749,0.257514749
733223,0.618269501,0.580578706,0.28092518,0.121734245
733224,0.588116865,0.388613166,0.388613166,0.290289353
733225,1.019337017,0.866185972,0.632081656,0.294971439
733226,0.516153198,0.454162375,0.454162375,0
733227,0.546774043,0.454162375,0.454162375,0
733228,1.963901114,2.074164248,2.074164248,1.975840434
733229,0.105346943,0.107687986,0.135780504,0.135780504
733230,0.884820676,0.538439929,0.374566907,0.33242813
733231,1.179979399,1.04878734,0.786590505,0.477572806
733232,0.963713831,1.217342448,1.217342448,0.674220433
733233,0.963713831,1.217342448,1.217342448,0.014046259
733234,1.124215751,2.308268564,2.308268564,1.66214065
